nohup: ignoring input
Enable itype propagation:0
Merge multiple function declaration:0
Sound handling of var args functions:0
file|#constraints|#ptr|#ntarr|#arr|#wild
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/acl.c|60|39|2|10|9
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/admin.c|244|140|27|11|66
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/auth.c|227|117|1|6|103
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/auth_anonymous.c|6|2|0|0|4
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/auth_enforce_auth.c|7|5|0|0|2
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/auth_htpasswd.c|86|40|12|1|33
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/auth_static.c|22|12|0|0|10
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/auth_url.c|110|49|15|13|33
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/buffer.c|69|43|3|9|14
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/cfgfile.c|469|178|2|2|287
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/client.c|156|118|15|10|13
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/common/avl/avl.c|213|121|4|4|84
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/common/httpp/encoding.c|227|154|4|25|44
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/common/httpp/httpp.c|235|101|12|52|70
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/common/log/log.c|62|16|8|24|14
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/common/net/resolver.c|18|0|0|0|18
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/common/net/sock.c|40|6|0|6|28
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/common/thread/thread.c|139|105|6|0|28
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/common/timing/timing.c|0|0|0|0|0
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/connection.c|239|170|10|13|46
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/curl.c|12|4|0|0|8
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/errors.c|5|2|0|1|2
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/event.c|64|27|7|0|30
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/event_exec.c|49|33|2|0|14
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/event_log.c|14|9|0|0|5
/home/hasantouma/plum-umd-icecast/checkedc-icecast/src/event_url.c|38|11|4|1|22
